00000205) perceptual - 97.22955; gen_gan - 0.54589; feature_matching - 4.19568; equivariance_value - 0.39901; equivariance_jacobian - 0.61013; kp_distance - 2.12614; verilight - 0.71451; disc_gan - 0.28471
00000206) perceptual - 97.81525; gen_gan - 0.54184; feature_matching - 4.16824; equivariance_value - 0.40244; equivariance_jacobian - 0.60779; kp_distance - 2.25143; verilight - 0.80436; disc_gan - 0.32538
00000207) perceptual - 113.84760; gen_gan - 0.58569; feature_matching - 4.83356; equivariance_value - 0.55710; equivariance_jacobian - 0.71519; kp_distance - 2.26667; verilight - 0.76838; disc_gan - 0.26591
00000208) perceptual - 104.58772; gen_gan - 0.57772; feature_matching - 4.49235; equivariance_value - 0.48132; equivariance_jacobian - 0.66436; kp_distance - 2.14603; verilight - 0.70077; disc_gan - 0.29342
00000209) perceptual - 100.70321; gen_gan - 0.54934; feature_matching - 4.33966; equivariance_value - 0.44950; equivariance_jacobian - 0.63990; kp_distance - 2.15365; verilight - 0.73739; disc_gan - 0.29112
00000210) perceptual - 99.95467; gen_gan - 0.55679; feature_matching - 4.33523; equivariance_value - 0.45275; equivariance_jacobian - 0.65342; kp_distance - 2.11937; verilight - 0.72765; disc_gan - 0.29052
00000211) perceptual - 99.93613; gen_gan - 0.55135; feature_matching - 4.30990; equivariance_value - 0.44651; equivariance_jacobian - 0.65924; kp_distance - 2.12317; verilight - 0.70558; disc_gan - 0.30272
00000212) perceptual - 98.41962; gen_gan - 0.55099; feature_matching - 4.25493; equivariance_value - 0.41486; equivariance_jacobian - 0.62349; kp_distance - 2.06476; verilight - 0.73046; disc_gan - 0.29652
00000213) perceptual - 101.07261; gen_gan - 0.53375; feature_matching - 4.37068; equivariance_value - 0.41937; equivariance_jacobian - 0.63524; kp_distance - 2.07746; verilight - 0.77945; disc_gan - 0.30452
00000214) perceptual - 101.95523; gen_gan - 0.53844; feature_matching - 4.41844; equivariance_value - 0.44638; equivariance_jacobian - 0.63306; kp_distance - 2.10370; verilight - 0.75303; disc_gan - 0.29984
00000215) perceptual - 101.53332; gen_gan - 0.53168; feature_matching - 4.47021; equivariance_value - 0.47439; equivariance_jacobian - 0.67775; kp_distance - 1.96952; verilight - 0.67314; disc_gan - 0.31414
00000216) perceptual - 102.32185; gen_gan - 0.55187; feature_matching - 4.43575; equivariance_value - 0.45304; equivariance_jacobian - 0.64032; kp_distance - 2.03175; verilight - 0.76871; disc_gan - 0.31791
00000217) perceptual - 101.82712; gen_gan - 0.55686; feature_matching - 4.42395; equivariance_value - 0.46148; equivariance_jacobian - 0.65773; kp_distance - 2.05884; verilight - 0.80868; disc_gan - 0.29334
00000218) perceptual - 97.50427; gen_gan - 0.54906; feature_matching - 4.26430; equivariance_value - 0.42697; equivariance_jacobian - 0.62918; kp_distance - 2.15196; verilight - 0.73901; disc_gan - 0.30262
00000219) perceptual - 96.79354; gen_gan - 0.54659; feature_matching - 4.18682; equivariance_value - 0.41679; equivariance_jacobian - 0.61605; kp_distance - 2.13460; verilight - 0.78409; disc_gan - 0.28883
00000220) perceptual - 95.43422; gen_gan - 0.54756; feature_matching - 4.19942; equivariance_value - 0.39615; equivariance_jacobian - 0.60347; kp_distance - 2.06434; verilight - 0.76123; disc_gan - 0.31788
